Income	0,000-1,500%	1,501-2,000%	2,001-2,500%	2,501-3,000%	3,001-3,500%	3,501-4,000%	4,001-4,500%	4,501-5,000%	5,001-5,500%	5,501-6,000%	6,001-6,500%	6,501-100,000%
€ 28.000	13,0%	14,0%	15,0%	15,5%	16,5%	17,0%	17,5%	18,0%	18,5%	19,0%	19,5%	20,0%
€ 29.000	13,5%	14,5%	15,5%	16,5%	17,5%	18,5%	19,0%	19,5%	20,0%	21,0%	21,5%	22,0%
€ 30.000	14,5%	15,5%	16,5%	17,5%	18,5%	19,5%	20,5%	21,0%	21,5%	22,0%	23,0%	23,5%
€ 31.000	15,0%	16,5%	17,5%	18,5%	19,5%	20,5%	21,5%	22,0%	22,5%	23,0%	23,5%	24,0%
€ 32.000	15,5%	17,0%	18,0%	19,0%	20,0%	21,0%	22,0%	22,5%	23,0%	23,5%	24,0%	24,5%
€ 33.000	16,5%	17,5%	18,5%	19,5%	20,5%	21,5%	22,5%	23,0%	23,5%	24,5%	25,0%	25,5%
€ 34.000	17,0%	18,0%	19,0%	20,0%	21,0%	22,0%	22,5%	23,5%	24,0%	25,0%	25,5%	26,0%
€ 35.000	17,5%	18,5%	19,5%	20,5%	21,0%	22,0%	23,0%	23,5%	24,5%	25,0%	26,0%	26,5%
€ 36.000	17,5%	18,5%	19,5%	20,5%	21,5%	22,5%	23,0%	24,0%	25,0%	25,5%	26,0%	27,0%
€ 37.000	18,0%	19,0%	20,0%	21,0%	22,0%	22,5%	23,5%	24,5%	25,0%	25,5%	26,0%	27,0%
€ 38.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	24,5%	25,5%	26,0%	26,5%	27,0%
€ 39.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	25,5%	26,5%	27,0%	27,5%
€ 40.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	26,5%	27,5%	28,0%
€ 41.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	26,5%	27,5%	28,0%
€ 42.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,0%
€ 43.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,0%
€ 44.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,0%
€ 45.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 46.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 47.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 48.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 49.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 50.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 51.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 52.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 53.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 54.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 55.000	18,0%	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 56.000	18,0%	19,0%	20,5%	21,5%	22,5%	23,5%	24,5%	25,0%	26,0%	27,0%	27,5%	28,5%
€ 57.000	18,0%	19,0%	20,5%	21,5%	22,5%	23,5%	24,5%	25,5%	26,0%	27,0%	28,0%	28,5%
€ 58.000	18,0%	19,0%	20,5%	21,5%	22,5%	23,5%	24,5%	25,5%	26,5%	27,0%	28,0%	28,5%
€ 59.000	18,5%	19,5%	20,5%	21,5%	22,5%	23,5%	24,5%	25,5%	26,5%	27,5%	28,0%	29,0%
€ 60.000	18,5%	19,5%	20,5%	21,5%	22,5%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,0%
€ 61.000	18,5%	19,5%	20,5%	21,5%	23,0%	24,0%	25,0%	26,0%	27,0%	27,5%	28,5%	29,0%
€ 62.000	18,5%	19,5%	20,5%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	28,5%	29,5%
€ 63.000	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	28,5%	29,5%
€ 64.000	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,5%	27,0%	28,0%	29,0%	29,5%
€ 65.000	19,0%	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,5%	27,5%	28,0%	29,0%	29,5%
€ 66.000	19,0%	20,0%	21,5%	22,5%	23,5%	24,0%	25,0%	26,5%	27,5%	28,5%	29,0%	30,0%
€ 67.000	19,5%	20,5%	21,5%	22,5%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,0%
€ 68.000	19,5%	20,5%	21,5%	22,5%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,0%
€ 69.000	19,5%	20,5%	21,5%	22,5%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%
€ 70.000	19,5%	20,5%	21,5%	22,5%	23,5%	25,0%	26,0%	27,0%	27,5%	28,5%	29,5%	30,5%
€ 71.000	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	29,5%	30,5%
€ 72.000	20,0%	21,0%	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	30,5%
€ 73.000	20,0%	21,0%	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,0%	30,0%	30,5%
€ 74.000	20,0%	21,0%	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,0%	30,0%	30,5%
€ 75.000	20,0%	21,0%	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,0%	31,0%
€ 76.000	20,0%	21,0%	22,0%	23,0%	24,5%	26,0%	27,0%	27,5%	28,5%	29,5%	30,0%	31,0%
€ 77.000	20,5%	21,5%	22,5%	24,0%	25,0%	26,0%	27,0%	28,0%	28,5%	29,5%	30,5%	31,0%
€ 78.000	20,5%	21,5%	22,5%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	29,5%	30,5%	31,0%
€ 79.000	20,5%	21,5%	22,5%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	29,5%	30,5%	31,0%
€ 80.000	20,5%	21,5%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%
€ 81.000	20,5%	21,5%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%
€ 82.000	20,5%	21,5%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%
€ 83.000	20,5%	21,5%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%
€ 84.000	20,5%	21,5%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	31,0%	31,5%
€ 85.000	21,0%	22,0%	23,0%	24,0%	25,0%	26,5%	27,5%	28,0%	29,0%	30,0%	31,0%	31,5%
€ 86.000	21,0%	22,0%	23,0%	24,0%	25,5%	26,5%	27,5%	28,5%	29,0%	30,0%	31,0%	31,5%
€ 87.000	21,0%	22,0%	23,0%	24,0%	25,5%	26,5%	27,5%	28,5%	29,5%	30,0%	31,0%	31,5%
€ 88.000	21,0%	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,0%	31,0%	32,0%
€ 89.000	21,0%	22,0%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,0%	31,0%	32,0%
€ 90.000	21,0%	22,0%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,0%	31,0%	32,0%
€ 91.000	21,0%	22,5%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,0%	32,0%
€ 92.000	21,0%	22,5%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,0%	32,0%
€ 93.000	21,0%	22,5%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,0%	32,0%
€ 94.000	21,5%	22,5%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,0%	32,0%
€ 95.000	21,5%	22,5%	23,5%	24,5%	26,0%	27,0%	28,0%	28,5%	29,5%	30,5%	31,5%	32,0%
€ 96.000	21,5%	22,5%	23,5%	24,5%	26,0%	27,0%	28,0%	28,5%	29,5%	30,5%	31,5%	32,0%
€ 97.000	21,5%	22,5%	23,5%	25,0%	26,0%	27,0%	28,0%	29,0%	29,5%	30,5%	31,5%	32,0%
€ 98.000	21,5%	22,5%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	29,5%	30,5%	31,5%	32,0%
€ 99.000	21,5%	22,5%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%	32,0%
€ 100.000	21,5%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%	32,5%
€ 101.000	21,5%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%	32,5%
€ 102.000	21,5%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	31,0%	31,5%	32,5%
€ 103.000	22,0%	23,0%	24,0%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	31,0%	31,5%	32,5%
€ 104.000	22,0%	23,0%	24,0%	25,0%	26,5%	27,5%	28,0%	29,0%	30,0%	31,0%	31,5%	32,5%
€ 105.000	22,0%	23,0%	24,0%	25,5%	26,5%	27,5%	28,5%	29,0%	30,0%	31,0%	31,5%	32,5%
